Country,1998,2008
Andorra,7.10,25.00
Antigua and Barbuda,5.30,10.50
Argentina,27.60,40.00
Bahamas,15.00,12.20
Barbados,10.70,10.00
Belize,3.40,0.00
Bolivia (Plurinational State of),...,16.90
Brazil,6.60,9.00
Chile,10.80,15.00
Colombia,...,8.40
Costa Rica,19.30,36.80
Cuba,27.60,43.20
Dominica,9.40,18.80
Ecuador,17.40,25.00
El Salvador,16.70,16.70
Spain,24.70,36.30
Grenada,20.00,13.30
Guatemala,12.50,12.00
Guyana,...,30.00
Haiti,3.60,4.10
Honduras,9.40,23.40
Jamaica,13.60,13.30
Mexico,17.40,23.20
Nicaragua,10.80,18.50
Panama,9.70,16.70
Paraguay,...,12.50
Peru,10.80,29.20
Portugal,13.00,28.30
Dominican Republic,16.10,19.70
Saint Kitts and Nevis,13.30,6.70
Saint Vincent and the Grenadines,...,18.20
Saint Lucia,11.80,11.10
Suriname,15.70,25.50
Trinidad and Tobago,11.10,26.80
Uruguay,7.10,12.10
Venezuela (Bolivarian Republic of),5.90,18.60
Latin America and the Caribbean/b,13.60,22.20
